X,Y,OBJECTID,Date,Year,County,Type,Collar,created_user,created_date,last_edited_user,last_edited_date
-81.6325582307559,26.0939469639925,599,2004/05/01 04:00:00+00,2004,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.3156101127886,27.0797137170542,600,2005/07/21 04:00:00+00,2005,Highlands,Sighting (tracks),Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5041580934741,26.1844676642122,601,2005/08/12 04:00:00+00,2005,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.3635283233553,25.9477364246929,602,2006/02/16 05:00:00+00,2006,Collier,Threat,FP79,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-80.9831244489013,26.3584186353573,603,2006/03/08 05:00:00+00,2006,Hendry,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.7282068833335,26.1312020866358,604,2006/03/13 04:00:00+00,2006,Collier,Sighting (tracks),Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.7282068833335,26.1312020866358,605,2006/03/15 04:00:00+00,2006,Collier,Sighting (tracks),Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.4663500540193,27.7025279753794,606,2006/12/02 05:00:00+00,2006,Polk,Sighting (photo),Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6843341467157,26.0985774567405,607,2007/02/04 05:00:00+00,2007,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.7347450483468,26.1354036129467,608,2007/05/02 04:00:00+00,2007,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-80.611050486787,25.3821122014436,609,2007/07/30 04:00:00+00,2007,Dade,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.3845298387533,26.3983726805015,610,2007/08/09 04:00:00+00,2007,Collier,Sighting (tracks),Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5330673597406,26.4835462046698,611,2007/09/07 04:00:00+00,2007,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6996181700963,26.453302811668,612,2007/10/27 04:00:00+00,2007,Lee,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6611755616231,26.2266666218124,613,2007/10/30 04:00:00+00,2007,Collier,Encounter,uncollared male,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-80.8326311320471,25.3231907697625,614,2007/12/20 05:00:00+00,2007,Dade,Encounter,FP142,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.1234326841322,29.3527316475934,615,2008/02/17 05:00:00+00,2008,Volusia,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.2880439626192,26.2185259816325,616,2008/02/25 05:00:00+00,2008,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.3225550295727,26.7629110007474,617,2008/10/02 04:00:00+00,2008,Hendry,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.7182521773597,26.8765161971276,618,2009/01/14 05:00:00+00,2009,Charlotte,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6088754993563,26.3758880605198,619,2009/02/13 05:00:00+00,2009,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5564574083426,27.4857949308076,620,2009/02/19 05:00:00+00,2009,Highlands,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.2784075189707,27.631687689215,621,2009/03/21 04:00:00+00,2009,Highlands,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.397753533809,26.0152522257707,622,2009/03/22 04:00:00+00,2009,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.0431560781549,27.1171231808192,623,2009/04/09 04:00:00+00,2009,Glades,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5322912270132,28.2254483134103,624,2009/04/25 04:00:00+00,2009,Osceola,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5497120729602,25.9486844895845,625,2010/02/08 05:00:00+00,2010,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.3600842741841,26.1674371632147,626,2010/02/08 05:00:00+00,2010,Collier,Encounter,FP171,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.4688292056758,26.1990432240306,627,2010/02/21 05:00:00+00,2010,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.2703935441165,26.325965688901,628,2010/03/31 04:00:00+00,2010,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6489685223139,26.2224333694139,629,2010/04/30 04:00:00+00,2010,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6490222954668,26.2321214829667,630,2010/05/08 04:00:00+00,2010,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.1861421247724,26.2988850919472,631,2010/05/09 04:00:00+00,2010,Hendry,Encounter,Uncollared & FP165,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.4966366621952,26.5070537492846,632,2010/05/18 04:00:00+00,2010,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6392388910311,26.1877684826819,633,2010/05/19 04:00:00+00,2010,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5229031163369,26.1419805229469,634,2010/08/24 04:00:00+00,2010,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6245036197115,26.2339546978159,635,2010/10/04 04:00:00+00,2010,Collier,Incident,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.634740455075,26.2569524091565,636,2010/11/20 05:00:00+00,2010,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.631772303697,26.2580489999072,637,2010/11/28 05:00:00+00,2010,Collier,Incident,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6360388754951,26.2324233161335,638,2011/03/27 04:00:00+00,2011,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6314052862079,26.2420237598915,639,2012/06/22 04:00:00+00,2012,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.0668552325546,26.6874642547441,640,2012/10/18 04:00:00+00,2012,Hendry,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5701741877594,26.2267132797207,641,2012/12/03 05:00:00+00,2012,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.563022775241,26.2197708365046,642,2012/12/07 05:00:00+00,2012,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5494196695386,26.2711640687241,643,2013/05/01 04:00:00+00,2013,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.0198232234905,25.8548934746959,644,2013/07/31 04:00:00+00,2013,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5595416157671,26.1805157921639,645,2013/10/07 04:00:00+00,2013,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.4258008674587,26.6468798804591,646,2013/10/16 04:00:00+00,2013,Hendry,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6613510717684,26.2435323590872,647,2013/11/14 05:00:00+00,2013,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.4062124720712,26.6198052689122,648,2014/01/25 05:00:00+00,2014,Hendry,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.4789978086036,26.4255182072182,649,2014/03/24 04:00:00+00,2014,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.8118098546881,26.212017201219,650,2014/03/24 04:00:00+00,2014,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.3853941096848,26.4020001082241,651,2014/04/13 04:00:00+00,2014,Collier,Encounter,FP66,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.670697490734,26.0956979394848,652,2014/05/17 04:00:00+00,2014,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6359148325274,26.2445862287545,653,2014/09/03 04:00:00+00,2014,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.3174398462751,26.275394886374,654,2015/01/28 05:00:00+00,2015,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-80.9148616869551,26.2172903917814,655,2015/04/07 04:00:00+00,2015,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5234201381054,26.1950535789555,656,2015/09/15 04:00:00+00,2015,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6490281183464,26.2079140855335,657,2015/09/25 04:00:00+00,2015,Collier,Sighting,FP224,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6660380982386,26.2384633932776,658,2015/10/19 04:00:00+00,2015,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.577157696168,26.240030699252,659,2015/12/04 05:00:00+00,2015,Collier,Encounter,FP224,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.7125406124265,26.1605712862756,660,2016/02/19 05:00:00+00,2016,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.3874490346433,26.4078545281087,661,2016/03/15 04:00:00+00,2016,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.607849632285,26.3733191310086,662,2016/03/28 04:00:00+00,2016,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6984329005711,26.2477811674017,663,2016/04/03 04:00:00+00,2016,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.0767939763641,26.6091503500632,664,2016/04/25 04:00:00+00,2016,Hendry,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6459639199965,26.1641268564529,665,2016/11/10 05:00:00+00,2016,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.7001095961674,26.2318275289394,666,2016/12/15 05:00:00+00,2016,Collier,Sighting (video),Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6098051900983,26.2164649211949,667,2017/05/19 04:00:00+00,2017,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5622513182447,26.2654169295385,668,2018/08/28 04:00:00+00,2018,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6602222200362,26.268783123601,669,2019/06/29 04:00:00+00,2019,Collier,Incident,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.6367825673626,26.240293506737,670,2021/08/31 04:00:00+00,2021,Collier,Sighting,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
-81.5745853640637,26.3682015318555,671,2021/12/16 05:00:00+00,2021,Collier,Encounter,Uncollared,FWC,2022/04/28 17:33:46+00,FWC,2022/04/28 17:33:46+00
